2.4725,5.0875,4.205,Predictable
4.577777778,4.806666667,4.606111111,Broken Promise
4.33,4.354545455,4.535909091,Legs
4.21,6.166666667,4.676666667,Over The Edge
4.09,6.4,4.84,Sermon
1.827222222,4.477777778,2.968333333,Just
1.235666667,2.860333333,2.056,A Welcome Burden
3.160681818,5.296590909,4.525909091,Thrasher
2.900714286,5.634285714,4.473571429,Under My Skin
4.2275,3.95,3.6875,Pride
3.42375,5.84625,4.89375,Titus Andronicus
2.53,6.2,4.11,Battle Ready
5.671166667,6.0055,5.5635,Here Come The Rome Plows
1.265,3.1,2.055,Awesome (feat. The Cool Kids)
5.363333333,4.563333333,5.516666667,Feel
2.192857143,3.08,2.66,Choke Me
3.023333333,6.018666667,4.504666667,New Found Power
2.902941176,5.887058824,4.432352941,Thoughtless
1.265,3.1,2.055,Champing at the Bit
3.604285714,5.185,4.395714286,Baba
5.3,6.3125,5.41,Shame
3.851714286,5.658714286,4.952142857,Fuck You (An Ode to No One)
3.287647059,5.571176471,4.061176471,Fear of Dying
3.70939759,4.23746988,4.145903614,I Won't Lie Down
4.571089109,6.066930693,4.438712871,Stay Beautiful
3.94,4.83,4.423333333,Drink Deep
2.53,6.2,4.11,I'm A Swing It
5.05,6.15,4.96,Government Trash
3.66,5.29,4.586,Rape Song
2.727037037,5.62962963,4.128148148,Pneumonic
5.265,5.78,5.015,Dirty Work
4.08,5.924705882,4.922941176,CLEVER SLEAZOID
5.71,4.667777778,5.358888889,Rise Up In The Dirt
2.53,6.2,4.11,Brownie Bottom Sundae
4.755142857,5.881142857,5.253428571,Happy
3.966,4.108,4.462,World Away
4.765,4.236111111,4.874444444,Real Men
4.952,5.252,4.922,Valhalla
2.526,6.146,4.458,Cinnamon Spider
2.845,6.002692308,4.085769231,This S*it Will Fcuk You Up
5.646666667,5.37,5.226666667,The C.I.A. Is Trying to Kill Me
5.72,5.133333333,5.236666667,Heart and Soul
5.044666667,5.832666667,5.317333333,You Oughta Know (Alternate)
4.32,5.125,4.445,Kill Your Sons
4.054444444,5.199259259,4.605185185,Total Invasion
5.886,5.888,5.42,Just a Little Girl
2.53,6.2,4.11,Delivering the Groceries at 138 Beats per Minute
2.53,6.2,4.11,God Machine
4.254210526,6.165789474,4.691578947,The Truth
2.53,6.2,4.11,Our Disintegration
3.79,5.3125,4.495,The Breakup Song
2.53,6.2,4.11,People You Know
4.04,5.245,5.14,Azure Azure
5.265,5.78,5.015,Use Once And Destroy
2.53,6.2,4.11,Zeplin Song
2.53,6.2,4.11,Top 3 Selected
5.265,5.78,5.015,KRWLNG (Mike Shinoda ft. Aaron Lewis)
2.53,6.2,4.11,Two - Headed Boy
3.12,5.6,4.185,Listen To What You've Got
2.315,4.845,3.975,Will
6.332,5.14,5.9,They All Laughed
2.53,6.2,4.11,Bem-Vindo ao Clube
3.201641791,4.267164179,5.102537313,Fixin' to Die Blues
6.114455446,3.550594059,6.478217822,A Century Ends
1.675423729,3.291694915,2.932372881,P.S.
2.53,6.2,4.11,Masakra
2.53,6.2,4.11,Gift
2.515,6.41,4.14,Mean Machine
2.515,6.41,4.14,Phonebill Song
2.704285714,5.47,3.975714286,Am I Not Yours?
6.796987952,5.276144578,6.205783133,Four Leaf Clover
2.53,6.2,4.11,Cause Of My Anger
3.12,5.6,4.185,What About Us?
2.53,6.2,4.11,As It Is
5.45,6.26,5.575,Paperface (Kitchen Tapes)
2.465,4.505,3.975,Every Sunday
3.896666667,4.003333333,4.893333333,Millennium Theater
4.54,4.86,5,What We Came Here For
4.75,5.983333333,5.546666667,God Is Going To Get Sick Of Me
2.53,6.2,4.11,There's No 'I' Team
3.123333333,4.166666667,3.436666667,Cryosleep
2.53,6.2,4.11,Seven Ways Of Going
2.53,6.2,4.11,Monday
5.931573034,6.006853933,5.598314607,Pretty Little Eyes
3.906915423,5.833482587,4.610895522,Hate
2.431016949,4.377288136,3.869661017,I've Got A Feeling
3.16,5.77,4.123333333,Reflex
2.743333333,5.646666667,4.35,Suck-Taste-Spit
2.53,6.2,4.11,Scrambled
2.53,6.2,4.11,The Stain Remains
2.996666667,3.87,3.686666667,Let Down
3.845,4.725,4.83,Solar Midnite
5.705,5.3075,5.6675,Breathe (remix)
2.476666667,4.98,4.363333333,Godspeed
2.53,6.2,4.11,"Filmes De Guerra, Canções De Amor"
4.975,6.5,5.055,Boy Gets What He Wants
2.53,6.2,4.11,"P, P, P, Antless"
2.53,6.2,4.11,Playing With Fire (feat. Betty Wright)
2.53,6.2,4.11,Fix Me (Black Flag)
2.53,6.2,4.11,Pray To The Pessimist
5.1,4.856666667,5.37,Warum
2.53,6.2,4.11,Revenge
2.915,5.49,4.53,Rat In A Cage
2.53,6.2,4.11,Bumble Bee
3.1675,5.6725,4.235,"Angels Fuck, Devils Kiss"
2.952869822,3.963994083,3.448284024,Padraic My Prince
4.383333333,3.985,4.496666667,Ugly Girl
4.288,3.696,4.024,Ironic (Acoustic Album Version)
5.435,4.986,5.117,So Sad So Lonely
2.7675,3.2325,4.0575,Gallows Pole
4.31,3.578571429,4.568571429,The Dolphin's Cry [acoustic live]
4.030361446,4.745783133,4.599759036,Da Feelin'
5.21,4.275,4.6425,All the Time
